Vendor Name,Vendor Code
ABC Inc.,1
XYZ Corp.,2
Acme Co.,3
Smith & Co.,4
Jackson LLC,5
DEF Enterprises,6
Johnson & Sons,7
Smithfield Co.,8
J&J Industries,9
Green & Co.,10
Bluebird Inc.,11
Rapid Solutions,12
Innovate Corp.,13
Agile Systems,14
Prodigy Co.,15
La Société,1
Deutsches Unternehmen,2
Empresa Española,3
Società Italiana,4
日本の会社,5
La Société (France),1
Das Unternehmen (Deutschland),2
Empresa (España),3
Società (Italia),4
会社 (日本),5
الشركة (المملكة العربية السعودية),1
Компания (Россия),2
企业 (中国),3
الشركة (مصر),4
Empresa (Brasil),5